dataset,model,number_of_shot,r,average_r,p,average_p
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-j-6b,3,"[0.7761650253078871, 0.9003349601763204, 0.9658370498614682]",0.880779012,"[0.0, 0.0, 0.0]",0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-j-6b,6,"[0.9215493989465872, 0.4190029788892119, 0.05669712913145014]",0.465749836,"[0.0, 9.361945636494595e-203, 8.720962695040482e-05]",2.91E-05
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,3,"[0.9941381255891768, 0.9939921515370296, 0.9901552336157318]",0.992761837,"[0.0, 0.0, 0.0]",0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,6,"[0.8754366192767009, 0.9323827896360448, 0.918562705141099]",0.908794038,"[0.0, 0.0, 0.0]",0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,3,"[0.9051226270927203, 0.6055605393150232, 0.879452405175941]",0.796711857,"[0.0, 0.0, 0.0]",0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,6,"[0.9409664731649452, 0.8587207455049799, 0.9088625180447691]",0.902849912,"[0.0, 0.0, 0.0]",0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-13b,3,"[0.32186076939408836, 0.5896571133535423, 0.763520258727271]",0.558346047,"[9.820194786575597e-116, 0.0, 0.0]",3.27E-116
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-13b,6,"[0.9648140070505442, 0.7494742112182309, 0.742387787914903]",0.818892002,"[0.0, 0.0, 0.0]",0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-native,3,"[0.2124106976932409, 0.4679319123259977, 0.6052933082613179]",0.428545306,"[6.200881235852877e-50, 5.929871510239489e-259, 0.0]",2.07E-50
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-native,6,"[0.8166484462135133, 0.6887134464159753, 0.8279005732401812]",0.777754155,"[0.0, 0.0, 0.0]",0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,gpt2,3,"[-0.16899000287893384, -0.6841009742898636, 0.46331180996082943]",-0.129926389,"[5.563811333881979e-32, 0.0, 3.032330901371696e-253]",1.85E-32
advice/health_advice_sturctured_abs_annotation_test_folds.csv,gpt2,6,"[0.977556734007191, 0.7590117565224935, 0.8406725604519306]",0.85908035,"[0.0, 0.0, 0.0]",0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,3,"[0.8458219824097448, 0.8856583820869016, 0.9732899142291291]",0.901590093,"[0.0, 0.0, 0.0]",0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,6,"[0.9575182077586191, 0.5123567323027387, 0.4288162517363664]",0.632897064,"[0.0, 1.438867e-318, 2.6853790140011264e-213]",8.95E-214
boolq/dev.csv,EleutherAI/gpt-j-6b,2,"[0.9644238479756924, 0.989086865654381, 0.9666448829092009]",0.973385199,"[0.0, 0.0, 0.0]",0
boolq/dev.csv,EleutherAI/gpt-j-6b,4,"[-0.8866585072749229, 0.9122108498032674, -0.8297337942386985]",-0.268060484,"[0.0, 0.0, 0.0]",0
boolq/dev.csv,EleutherAI/gpt-neo-1.3B,2,"[0.7599813967788055, 0.7439596019614658, 0.9970068746647048]",0.833649291,"[0.0, 0.0, 0.0]",0
boolq/dev.csv,EleutherAI/gpt-neo-1.3B,4,"[-0.7716489362075295, 0.5649874184370323, -0.05889921250628955]",-0.088520243,"[0.0, 3.428817297684271e-275, 0.0007524315225018397]",0.000250811
boolq/dev.csv,EleutherAI/gpt-neo-2.7B,2,"[0.9463879949507505, 0.9649672479973027, 0.9802804254138476]",0.963878556,"[0.0, 0.0, 0.0]",0
boolq/dev.csv,EleutherAI/gpt-neo-2.7B,4,"[-0.9418816013802902, 0.9955498588359606, -0.9457221088804466]",-0.297351284,"[0.0, 0.0, 0.0]",0
boolq/dev.csv,chavinlo/alpaca-13b,2,"[0.5920261317100722, 0.9898743990928673, 0.5701728688778519]",0.7173578,"[1.3553357903326013e-308, 0.0, 2.3375364897081183e-281]",7.79E-282
boolq/dev.csv,chavinlo/alpaca-13b,4,"[0.9520294409229438, 0.9776031420325466, 0.9186730076293197]",0.949435197,"[0.0, 0.0, 0.0]",0
boolq/dev.csv,chavinlo/alpaca-native,2,"[0.29267345261685074, 0.9102961235281699, 0.3764678235255317]",0.526479133,"[1.345042833416676e-65, 0.0, 1.2923445232810393e-110]",4.48E-66
boolq/dev.csv,chavinlo/alpaca-native,4,"[0.9079549119745879, 0.8903266855451187, 0.9280954867587274]",0.908792361,"[0.0, 0.0, 0.0]",0
boolq/dev.csv,togethercomputer/GPT-JT-6B-v1,2,"[-0.30235439610311493, 0.9882716077608732, -0.27832321321889547]",0.135864666,"[4.2636789770415454e-70, 0.0, 3.030702430300926e-59]",1.01E-59
boolq/dev.csv,togethercomputer/GPT-JT-6B-v1,4,"[0.7351054587079201, 0.9721141876653548, 0.7547064797346923]",0.820642042,"[0.0, 0.0, 0.0]",0
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-j-6b,4,"[0.9775210256918737, 0.10366508796486941, 0.14738093974611582]",0.409522351,"[0.0, 0.01728674191273241, 0.0006891375055452307]",0.00599196
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-j-6b,8,"[0.5407923072833359, -0.5153354296329699, -0.9737388455991176]",-0.316093989,"[2.3274557390732775e-41, 4.3571446234724705e-37, 0.0]",1.45E-37
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neo-1.3B,4,"[0.9895443773487311, -0.9652251863569503, -0.9386133356563471]",-0.304764715,"[0.0, 4.567850367950397e-308, 8.033943693876228e-245]",2.68E-245
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neo-1.3B,8,"[-0.9158468022038329, 0.9937916283810649, -0.9214399723667005]",-0.281165049,"[3.391685434986599e-210, 0.0, 1.0459428875159897e-217]",1.13E-210
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neo-2.7B,4,"[0.892516097902285, -0.9522558326082514, -0.76516031330585]",-0.274966683,"[1.0999341900017978e-183, 1.109920153635871e-272, 1.8436433505069616e-102]",6.15E-103
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neo-2.7B,8,"[-0.9035693935738865, 0.9795760735405598, -0.9083733256305361]",-0.277455549,"[2.1315964137042624e-195, 0.0, 6.1389756986531916e-201]",7.11E-196
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neox-20b,4,"[0.9727910236165662, 0.587910179956927, 0.5669406502070162]",0.709213951,"[0.0, 2.648339687202944e-50, 3.814033644364911e-46]",1.27E-46
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neox-20b,8,"[-0.7930817849594582, 0.948115351199247, -0.7242376772803613]",-0.189734704,"[4.064823337559976e-115, 1.933110552065449e-263, 8.476063248260229e-87]",2.83E-87
cola/raw/in_domain_dev.tsv,chavinlo/alpaca-13b,4,"[0.9021177396612379, 0.851308550154767, 0.9234828654148034]",0.892303052,"[8.827053957071706e-194, 3.544173332104928e-149, 1.3674940200021295e-220]",1.18E-149
cola/raw/in_domain_dev.tsv,chavinlo/alpaca-13b,8,"[0.6683986793576534, 0.3920097395966443, 0.866840661635899]",0.64241636,"[1.7024593349511683e-69, 8.373187817104034e-21, 8.253690749071395e-161]",2.79E-21
cola/raw/in_domain_dev.tsv,chavinlo/alpaca-native,4,"[0.8860988080967613, 0.8565861916725388, 0.9071479400246644]",0.883277647,"[1.8547375550029966e-177, 5.641975770784751e-153, 1.6981615840330509e-199]",1.88E-153
