dataset,model,prompt_set,r,p
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-j-6b,1a,0.897690718,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,1a,0.905920703,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,1a,0.952186077,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-13b,1a,-0.071772916,6.72E-07
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-native,1a,0.204192906,3.36E-46
advice/health_advice_sturctured_abs_annotation_test_folds.csv,gpt2,1a,0.56403254,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,1a,0.848750017,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-j-6b,2a,0.814922862,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,2a,0.988856028,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,2a,0.946401152,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-13b,2a,0.569733234,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-native,2a,0.873342617,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,gpt2,2a,-0.241156839,2.89E-64
advice/health_advice_sturctured_abs_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,2a,0.976185614,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-j-6b,3a,0.416856148,1.70E-200
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,3a,0.945497901,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,3a,0.877153368,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-13b,3a,-0.015191589,0.293472407
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-native,3a,0.602691517,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,gpt2,3a,-0.739964193,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,3a,0.436909147,2.94E-222
boolq/dev.csv,EleutherAI/gpt-j-6b,1a,-0.903491435,0
